id,Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Population,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Median Family Income,Median Earnings
p37,Wesleyan University,Private,New England,Small City,21,31,1387,2888,61167,24442,11163,17625,88497,42000
p939,Merrimack College,Private,New England,Large Suburb,79,0,0,2722,46532,8945,7449,20000,108518,47200
p156,University of Connecticut-Tri-Campus,Public,New England,Mid-size Suburb,42,22,1015,2382,13099,3882,12909,18983,86510,49700
p240,Simmons College,Private,New England,Large City,49,26,1149,1710,51093,12373,8098,25000,67781,46500
p444,University of North Texas,Public,Southwest,Mid-size City,60,24,1100,31243,18593,7571,9746,14955,49512,39400
p114,Johnson C Smith University,Private,Southeast,Large City,37,17,826,1382,30314,6837,6158,18750,34256.5,25100
p749,MidAmerica Nazarene University,Private,Great Plains,Large Suburb,72,20,950,1390,32388,5381,6156,15000,60929,39200
p825,Arizona State University-Polytechnic,Public,Southwest,Large City,75,24,1106,3305,21256,9407,8042,16250,43477,0
p41,University of California-Los Angeles,Public,Far West,Large City,22,28,1289,28667,31474,38489,15089,15200,34557.5,51000
p298,University of North Florida,Public,Southeast,Large City,53,25,1143,14006,19415,5323,7279,14000,41844.5,38400
p990,University of Mary Washington,Public,Southeast,Mid-size Suburb,81,24,1110,4303,21862,6875,7702,16672,94155.5,44700
p253,North Carolina Central University,Public,Southeast,Mid-size City,50,18,859,5876,17873,10084,7653,21670,29880,30200
p420,University of Louisiana at Lafayette,Public,Southeast,Mid-size City,59,23,1070,14261,15342,4963,7568,13000,35091,34600
p480,Meredith College,Private,Southeast,Large City,62,23,1040,1543,39296,9730,6925,20500,56959.5,34400
p227,The University of West Florida,Public,Southeast,Small City,48,24,1062,9906,18158,5710,7392,12500,34467,33400
p969,Nichols College,Private,New England,Large Suburb,80,21,940,1260,44886,4681,5479,15782.5,81300.5,41900
p577,Florida Gulf Coast University,Public,Southeast,Large Suburb,66,22,1024,12795,18097,6606,7382,11625,46981,37600
p653,University of Memphis,Public,Southeast,Large City,68,22,1031,16178,20899,8742,8304,18938,29727,33700
p485,University of California-Riverside,Public,Far West,Large City,62,23,1078,18612,29787,10473,11324,17000,43078.5,41100
p681,Wofford College,Private,Southeast,Small City,69,27,1186,1610,47856,10109,7867,19500,91037,44000
p1212,The University of Texas at El Paso,Public,Southwest,Large City,100,20,923,19527,15272,6854,8167,12500,22907,34300
p490,Becker College,Private,New England,Mid-size City,63,22,1006,1871,44041,5832,7308,15750,54112,36300
p1209,Lewis-Clark State College,Public,Rocky Mountains,Small City,100,20,936,3161,16184,6049,5512,12500,30202,29700
p1038,Auburn University at Montgomery,Public,Southeast,Mid-size City,84,21,970,4322,16556,6817,7173,10750,27378,32400
p539,Trinity University,Private,Southwest,Large City,64,29,1270,2127,46274,14743,9715,18500,101012.5,49600
p363,Kennesaw State University,Public,Southeast,Large Suburb,57,23,1068,22211,20630,6179,6252,15000,41150.5,37200
p461,St Catherine University,Private,Great Plains,Large City,61,23,1051,3479,43356,9805,6737,22697,52083.5,43700
p789,The University of Texas at San Antonio,Public,Southwest,Large City,73,23,1050,23840,18936,6338,9272,16490,38470,39700
p176,Chapman University,Private,Far West,Mid-size City,45,27,1208,5940,57020,13977,11095,19000,53889,48000
p611,Mississippi College,Private,Southeast,Large Suburb,67,24,1098,2895,25976,8024,7079,16625,37912,35800
p1079,Pacific University,Private,Far West,Large Suburb,86,24,1102,1729,47922,11413,7478,20758.5,66418,37200
p1027,Marymount University,Private,Southeast,Mid-size City,83,22,1030,2371,36832,8319,8270,20500,57612,48200
p26,Rice University,Private,Southwest,Large City,17,33,1454,3920,52242,39651,13468,7727,71258,56500
p554,Johnson & Wales University-North Miami,Private,Southeast,Large Suburb,65,0,0,1937,38974,5776,7491,20667,55421,33000
p1084,University of South Alabama,Public,Southeast,Mid-size City,86,23,1064,11048,17125,10325,7212,15000,30958,34400
p956,Belmont University,Private,Southeast,Large City,80,27,1193,5465,41450,8976,8450,19173,83588,37600
p187,Boston University,Private,New England,Large City,46,28,1279,16460,59036,27281,12360,25500,91507,53600
p925,The University of Tennessee-Chattanooga,Public,Southeast,Mid-size City,78,23,1069,10184,19192,7034,7477,11420.5,43600,33300
p669,Salem State University,Public,New England,Large Suburb,69,22,986,7134,20601,7761,8765,19415,51386,37600
p886,Lamar University,Public,Southwest,Mid-size City,77,21,974,9175,21142,4626,7689,12500,31781.5,35800
p79,Trinity College,Private,New England,Mid-size City,32,27,1240,2239,59865,23403,10884,19275,87726,50300
p201,Christian Brothers University,Private,Southeast,Large City,47,24,1105,1156,34413,6948,5988,20600,41418,41800
p1085,University of St Thomas,Private,Great Plains,Large City,86,26,1165,6246,48421,12539,9892,22250,96397,48100
p995,California College of the Arts,Private,Far West,Large City,82,0,0,1463,53837,16026,8347,24500,37618,30900
p881,Bryant University,Private,New England,Large Suburb,77,25,1137,3263,50858,8913,12905,26706,104089,57800
p496,Huntingdon College,Private,Southeast,Mid-size City,63,22,999,1100,31433,6571,6027,16850,54275.5,33000
p60,Babson College,Private,New England,Large Suburb,28,28,1258,2106,58450,13960,14952,27000,80987,74700
p851,Arizona State University-West,Public,Southwest,Large City,76,23,1073,3243,20269,9017,8293,16250,43477,0
p148,Dallas Baptist University,Private,Southwest,Large City,42,23,1078,3375,32489,7945,7607,17348.5,48905.5,39900
p396,Virginia Union University,Private,Southeast,Mid-size City,58,15,750,1359,26885,5953,5524,14250,39816.5,27200
p23,Washington University in St Louis,Private,Great Plains,Large Suburb,16,33,1474,6851,62594,97613,13286,19500,77947.5,58300
p484,The University of Texas-Pan American,Public,Southwest,Small City,62,20,937,17200,11601,6001,7552,9621,21957,36500
p145,University of Tulsa,Private,Southwest,Large City,41,29,1279,3394,46560,16047,9672,20500,64324,41400
p950,University of Missouri-Columbia,Public,Great Plains,Mid-size City,79,26,1165,26585,22387,10752,8788,17500,80508.5,41200
p100,Southwestern Assemblies of God University,Private,Southwest,Large Suburb,35,0,0,1669,29652,5596,5329,16970,40330,29600
p1109,University of Colorado Boulder,Public,Rocky Mountains,Small City,88,27,1192,25461,27854,13949,10298,15000,73526,41600
p916,Fresno Pacific University,Private,Far West,Large City,78,20,979,2496,33973,5520,6562,16802,44931.5,37600
